date,close
4/26/2024,12.79
4/25/2024,13.04
4/24/2024,12.95
4/23/2024,12.94
4/22/2024,12.88
4/19/2024,12.14
4/18/2024,12.06
4/17/2024,12.04
4/16/2024,12.09
4/15/2024,12.23
4/12/2024,12.61
4/11/2024,13.04
4/10/2024,13.06
4/9/2024,13.54
4/8/2024,13.41
4/5/2024,13.28
4/4/2024,13.21
4/3/2024,13.65
4/2/2024,13.28
4/1/2024,13.29
3/28/2024,13.28
3/27/2024,13.06
3/26/2024,12.44
3/25/2024,12.9
3/22/2024,12.91
3/21/2024,12.92
3/20/2024,12.9
3/19/2024,12.3
3/18/2024,12.18
3/15/2024,12.06
3/14/2024,12.08
3/13/2024,12.37
3/12/2024,12.11
3/11/2024,12.11
3/8/2024,12.18
3/7/2024,12.41
3/6/2024,12.38
3/5/2024,12.58
3/4/2024,12.74
3/1/2024,12.45
2/29/2024,12.44
2/28/2024,12.3
2/27/2024,12
2/26/2024,11.95
2/23/2024,12.14
2/22/2024,12.12
2/21/2024,12.14
2/20/2024,12.25
2/16/2024,12.3
2/15/2024,12.52
2/14/2024,12.56
2/13/2024,12.68
2/12/2024,12.98
2/9/2024,12.68
2/8/2024,12.83
2/7/2024,12.8
2/6/2024,12.07
2/5/2024,11.59
2/2/2024,12.14
2/1/2024,12.1
1/31/2024,11.72
1/30/2024,11.78
1/29/2024,11.55
1/26/2024,11.39
1/25/2024,11.34
1/24/2024,11.03
1/23/2024,11.37
1/22/2024,11.2
1/19/2024,11.2
1/18/2024,10.99
1/17/2024,11.27
1/16/2024,11.46
1/12/2024,11.46
1/11/2024,11.71
1/10/2024,11.83
1/9/2024,11.84
1/8/2024,11.97
1/5/2024,11.85
1/4/2024,11.68
1/3/2024,11.71
1/2/2024,12.16
12/29/2023,12.19
12/28/2023,12.34
12/27/2023,12.39
12/26/2023,12.45
12/22/2023,12.35
12/21/2023,12.34
12/20/2023,11.8
12/19/2023,12.02
12/18/2023,11.93
12/15/2023,12.02
12/14/2023,12.08
12/13/2023,11.24
12/12/2023,11.16
12/11/2023,11.07
12/8/2023,11.01
12/7/2023,10.82
12/6/2023,10.69
12/5/2023,10.6
12/4/2023,10.7
12/1/2023,10.58
11/30/2023,10.26
11/29/2023,10.59
11/28/2023,10.37
11/27/2023,10.34
11/24/2023,10.4
11/22/2023,10.26
11/21/2023,10.19
11/20/2023,10.34
11/17/2023,10.27
11/16/2023,10.16
11/15/2023,10.47
11/14/2023,10.4
11/13/2023,9.82
11/10/2023,9.86
11/9/2023,9.7
11/8/2023,10.05
11/7/2023,10.17
11/6/2023,10.31
11/3/2023,10.56
11/2/2023,10.14
11/1/2023,9.91
10/31/2023,9.75
10/30/2023,9.77
10/27/2023,9.96
10/26/2023,11.35
10/25/2023,11.54
10/24/2023,11.39
10/23/2023,11.48
10/20/2023,11.64
10/19/2023,11.53
10/18/2023,11.75
10/17/2023,12.04
10/16/2023,11.93
10/13/2023,11.81
10/12/2023,12
10/11/2023,12.25
10/10/2023,12.2
10/9/2023,12.07
10/6/2023,12
10/5/2023,11.9
10/4/2023,11.99
10/3/2023,12.07
10/2/2023,12.31
9/29/2023,12.42
9/28/2023,12.56
9/27/2023,12.39
9/26/2023,12.43
9/25/2023,12.58
9/22/2023,12.43
